Custom Office,Reg Number,Importer,HS Code,FOB Value (N),CIF Value (N),Total Tax(N),Receipt Number,Receipt Date,Mass(KG),Country  of Origin,Country  of Supply,Nbr Of Containers,Container Nbr,Container Size
UA PORT,C1195,29143,12900000,1046575,1119220,137105,R599,2021-07-03,126,Germany,Germany,0,N/A,N/A
UA PORT,C1195,29143,36700000,216957,232002,68365,R599,2021-07-03,26,Germany,Germany,0,N/A,N/A
UA PORT,C1195,29143,39390000,172037,183858,54415,R599,2021-07-03,21,Germany,Germany,0,N/A,N/A
UA PORT,C1277,62056,40890000,776007,915286,162868,R621,2021-08-03,71,Belgium,Belgium,0,N/A,N/A
UA PORT,C1292,93763,37100000,234651,301040,37415,R614,2021-08-03,45,Turkey,Turkey,0,N/A,N/A
UA PORT,C1295,53015,4401000,306950,371435,26291,R615,2021-08-03,106,China,China,0,N/A,N/A
UA PORT,C1309,15979,31200000,41000,64741,1600,Unknown,,406,Azerbaijan,Azerbaijan,0,N/A,N/A
UA PORT,C1315,9026,41100000,178900,219088,27733,R636,2021-09-03,2418,Germany,"Taiwan, Province of China",0,N/A,N/A
UA PORT,C1322,34392,41100000,37060,43758,6678,R634,2021-09-03,42,United States,United States,0,N/A,N/A
UA PORT,C1343,8577,17620000,494100,1568144,181979,R650,2021-10-03,889,United Kingdom,Canada,0,N/A,N/A
UA PORT,C1355,1057,6800000,4300140,8536566,1600,Unknown,,2800,Finland,Denmark,0,N/A,N/A
UA PORT,C1363,90244,36610000,257700,464573,81885,R657,2021-11-03,345,Canada,Canada,0,N/A,N/A
UA PORT,C1410,94093,4900000,16375,125146,8977,R678,2021-03-16,69,Germany,Belgium,0,N/A,N/A
UA PORT,C1413,17241,6500000,51835,53295,16601,R668,2021-03-15,8,Republic of South Africa,Republic of South Africa,0,N/A,N/A
UA PORT,C1417,52506,28729000,74010,86923,39688,R669,2021-03-15,14,Republic of South Africa,Republic of South Africa,0,N/A,N/A
UA PORT,C286,55084,7800000,415103,420225,123139,R245,2021-01-14,36,Republic of South Africa,Republic of South Africa,0,N/A,N/A
UA PORT,C287,934,39900000,1082582,1178316,210170,R261,2021-01-19,126,Italy,Italy,0,N/A,N/A
UA PORT,C1434,1057,40200000,43077,74600,1600,Unknown,,5,Denmark,Denmark,0,N/A,N/A
UA PORT,C1469,34481,29100000,26313533,27435245,1600,Unknown,,405,"Korea, Republic of",Hong Kong,0,N/A,N/A
UA PORT,C1514,26327,41409000,114437,123894,3341,R707,2021-03-22,92,Germany,Germany,0,N/A,N/A
UA PORT,C1516,26327,1520000,216527,231142,29437,R706,2021-03-22,75,Germany,Germany,0,N/A,N/A
UA PORT,C1516,26327,41409000,75105,80263,2730,R706,2021-03-22,60,Germany,Germany,0,N/A,N/A
